controller,demand,seed,vehicles_loaded,vehicles_arrived,clearing_time,mean_delay,p95_delay,stops_per_vehicle,mean_stopped_time,conflicts_blocked,peds_served,ped_mean_wait,ped_p95_wait
Dynamic scheduling,1000,1,986,986,3676.5,24.617667567606986,52.14028776978417,1.5436105476673427,0.8275862068965517,716,751,14.681412307482663,34.63632639429636
Dynamic scheduling,1000,2,997,997,3660.0,23.215916529158353,50.75179856115108,1.5446339017051154,0.8324974924774323,705,726,14.428880778481009,34.810839496618655
Dynamic scheduling,1000,3,967,967,3644.5,24.315007302690724,54.25179856115108,1.5274043433298863,0.8061013443640124,744,779,13.969038876992249,32.79422809672815
Dynamic scheduling,1000,4,1038,1038,3662.0,24.124975133157058,51.863309352518,1.5549132947976878,0.8280346820809249,835,693,14.58060331765215,33.41726580522163
Dynamic scheduling,1000,5,1018,1018,3657.5,26.10939564601704,57.25179856115108,1.6011787819253438,0.8506876227897839,706,758,14.824198044704803,33.239291589116874
Dynamic scheduling,1000,6,977,977,3709.5,23.346099407508177,50.363309352518,1.4943705220061412,0.7886386898669396,718,698,13.924978758435575,32.0894815734639
Dynamic scheduling,1000,7,925,925,3673.0,23.42111159574888,49.25179856115108,1.4464864864864866,0.7545945945945945,620,706,13.598189158098156,33.21865304768153
Dynamic scheduling,1000,8,973,973,3651.0,23.39475255716648,49.40090090090091,1.4799588900308325,0.7723535457348407,629,718,14.302812363680555,34.51863395207647
Dynamic scheduling,1500,1,1566,1566,3662.0,67.67713442376406,192.25179856115108,5.340996168582375,7.0782247765006385,1654,751,23.166099391370803,59.865294535414705
Dynamic scheduling,1500,2,1526,1526,3655.5,37.55097679498675,88.363309352518,2.0163826998689385,1.141218872870249,1646,726,19.394445516773025,42.91963587958344
Dynamic scheduling,1500,3,1473,1473,3652.5,36.96019636099311,78.863309352518,2.002715546503734,1.0947046843177188,1431,779,17.977382907800987,40.996109579117274
Dynamic scheduling,1500,4,1557,1557,3669.0,58.74157829389186,163.75179856115108,4.574181117533719,6.053307642903019,1676,693,22.257370994419844,60.85157596003319
Dynamic scheduling,1500,5,1539,1539,3682.0,77.27225818523235,230.863309352518,6.088369070825212,8.339506172839506,1608,758,23.619712556578147,60.358940680960586
